11,1,16
39,1,15
39,42,8
53,1,19
78,1,9
78,46,7
107,1,14
125,14,9
125,33,4
144,1,9
167,21,7
167,45,9
195,1,17
205,1,11
205,35,4
231,22,14
259,50,12
259,80,6
272,60,16
285,44,7
285,103,5
313,70,15
333,86,12
333,111,9
347,106,10
376,72,15
376,156,4
396,93,7
417,115,8
417,131,7
437,132,12
449,113,16
449,163,3
460,123,11
480,95,11
480,180,6
492,83,16
514,109,10
514,134,8
528,92,12
553,65,9
553,135,8
570,46,12
590,68,8
590,86,9
609,89,12
630,66,5
630,131,9
654,41,9
682,13,12
682,94,3
701,30,14
722,2,12
722,67,3
736,1,14
763,1,11
763,52,8
777,12,6
792,26,13
792,55,4
816,44,12
837,17,12
837,84,4
854,34,15
867,46,15
867,80,6
877,58,10
899,34,10
899,113,3
926,59,13
937,69,8
937,86,5
957,87,13
967,71,14
967,127,3
992,99,10
1015,73,9
1015,152,4
1033,55,13
1053,75,8
1053,88,7
1074,92,13
1095,67,9
1095,144,8
1112,81,11
1126,94,12
1126,115,8
1139,106,13
1158,84,11
1158,150,6
1172,70,9
1184,77,17
1184,114,3
1204,103,9
1231,127,8
1231,159,6
1245,108,9
1259,124,9
1259,150,9
1270,11,107
