37159,36623,1142
131541,130683,1811
131541,132871,864
131541,135203,610
145332,115947,1705
145332,148109,687
190798,70437,1765
190798,163868,813
258096,138196,1231
258096,141337,667
297218,177190,1339
297218,179190,633
297218,180526,1765
312580,192390,1549
389187,114935,1704
389187,271676,608
389187,272267,1769
407720,96727,1150
407720,137170,1833
454188,142740,1640
454188,145611,676
554169,242942,1552
554169,246616,975
578053,218139,1568
578053,269518,575
578053,270633,956
673281,123163,1456
728283,177932,1532
728283,180411,799
728283,181341,1836
822823,82625,1692
822823,276862,514
851472,111079,1828
851472,113833,946
947055,206701,1480
947055,210475,1178
1045011,304829,1678
1045011,307344,882
1045011,309292,1313
1093852,255101,1561
1178221,339568,1603
1178221,342273,757
1178221,342900,1182
1234837,396122,1440
1234837,400945,1230
1310037,471226,1464
1310037,473799,859
1322956,457718,1533
1322956,488373,825
1420701,555194,1416
1420701,557526,511
1420701,558482,1582
1509101,643475,1701
1578683,713402,1133
1578683,715772,785
1578683,717093,673
1660649,630848,1396
1660649,799046,1202
1703997,673953,1543
1703997,676042,881
1791783,761603,1689
1791783,764969,1564
1832633,802775,1173
1832633,804959,968
1832633,806773,1478
1924881,709680,1758
1947661,732567,1728
1947661,734721,995
1947661,735654,1893
2004864,674802,1521
2004864,793541,1191
2104241,574988,1787
2104241,776511,804
2192260,487097,1609
2192260,667901,1837
2238746,533589,1735
2238746,536119,934
2238746,537820,1846
2336576,434940,1812
2362220,460502,1578
2362220,463221,941
2362220,464827,1850
2411077,509579,1357
2411077,512969,628
2479278,440386,1662
2479278,580415,582
2531330,492522,1798
2531330,496109,1643
2548718,509918,1875
2548718,512769,965
2548718,513693,1998
2628441,589895,1455
2693591,523919,1629
2693591,657247,881
2693591,658776,1240
2783085,434269,1754
2783085,617869,1117
2853897,505189,1515
2853897,508007,878
2892683,544213,1580
2892683,548763,956
2907477,558738,1596
2907477,561005,517
2907477,561950,502
2974781,490659,1710
3073765,391663,1345
3073765,591656,932
3073765,593680,504
3087076,378615,1167
3087076,408609,580
3101628,392967,1472
3101628,395680,748
3183268,474534,1780
3183268,479292,1615
3207317,449581,1899
3207317,501018,987
3207317,503156,1181
3235852,478162,1808
3255294,458019,1571
3255294,499725,819
3255294,500808,521
3345202,547702,1495
3345202,552239,1455
